0,1,2,3,4,5,6,7,8,9
1.0,4.656198347107438,1.0,1.0,4.92619926199262,1.0,1.0,4.653061224489797,4.828571428571428,1.0
1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,4.93594306049822,1.0
1.0,1.0,4.972972972972972,1.0,1.0,4.821612349914237,1.0,4.9019264448336255,1.0,4.641996557659208
5.0,1.0,1.0,1.0,5.0,5.0,4.759450171821305,1.0,1.0,1.0
4.972270363951473,4.880492091388401,5.0,4.777391304347826,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,4.958549222797927,1.0,1.0,4.780068728522336,1.0,4.598639455782314,5.0
4.846422338568935,4.655986509274873,4.8445229681978805,4.68166089965398,4.5627240143369185,5.0,4.649635036496351,4.781305114638448,4.682882882882883,4.651567944250871
1.0,1.0,1.0,1.0,1.0,4.653333333333332,1.0,4.63265306122449,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,4.743315508021391,1.0,1.0,4.776614310645725,1.0,4.653979238754325,4.869415807560136
4.978835978835979,1.0,1.0,1.0,4.66,4.826377295492487,4.659284497444634,1.0,1.0,1.0
4.8996655518394645,5.0,5.0,4.645901639344263,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,4.808170515097691,1.0,1.0,4.5290102389078495,1.0,4.51578947368421,4.358184764991896
4.985267034990793,1.0,1.0,1.0,4.935714285714285,4.7147707979626485,4.8513274336283185,1.0,1.0,1.0
1.0,5.0,1.0,1.0,4.985989492119089,1.0,1.0,5.0,4.907142857142857,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,5.0,1.0,1.0,4.735241502683364,1.0,1.0,4.9086115992970125,4.5785837651122625,1.0
5.0,1.0,1.0,1.0,4.573883161512027,4.740432612312812,4.718696397941681,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,4.4206896551724135,1.0,1.0,1.0
1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,4.824027072758037
4.931740614334471,1.0,1.0,1.0,4.520259319286872,4.910806174957118,4.595356550580432,1.0,1.0,1.0
1.0,1.0,1.0,4.8080614203454894,1.0,1.0,4.64349376114082,1.0,4.512027491408935,4.764705882352941
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.805892547660312
1.0,1.0,4.622775800711743,1.0,1.0,4.56738768718802,1.0,4.681978798586573,1.0,4.633276740237691
1.0,1.0,1.0,4.6727879799666105,1.0,1.0,4.64349376114082,1.0,4.453947368421053,4.751295336787565
4.736930860033727,4.703703703703704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,5.0,1.0,1.0,4.606217616580311,1.0,4.582491582491583,1.0,4.563258232235702
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.956442831215972,1.0
