0,1,2,3,4,5,6,7,8,9
0.0,59.4,0.0,0.0,58.6,0.0,0.0,60.5,58.6,0.0
0.0,56.5,0.0,0.0,55.2,0.0,0.0,57.8,54.2,0.0
57.5,56.8,56.3,54.7,0.0,0.0,0.0,0.0,0.0,0.0
56.6,55.3,55.4,53.6,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,54.7,0.0,0.0,55.7,0.0,53.8,56.1
0.0,0.0,54.6,0.0,0.0,0.0,0.0,54.0,0.0,49.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,54.5,0.0,0.0,54.6,0.0,53.7,56.0
57.7,56.2,57.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8
0.0,0.0,0.0,55.8,0.0,0.0,55.9,0.0,55.4,57.1
58.5,0.0,0.0,0.0,56.9,59.5,58.2,0.0,0.0,0.0
0.0,0.0,54.3,0.0,0.0,54.1,0.0,54.6,0.0,56.3
0.0,0.0,58.6,0.0,0.0,57.5,0.0,58.8,0.0,57.4
0.0,0.0,0.0,56.4,0.0,0.0,55.8,0.0,55.0,56.6
