,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
53,c41f46c29d6f4f1f9b60c37ffeaf7364,28,14,18,14,16,7,19,16,18,12,14,14,14,38,24,33,25,25,10,28,27,30,26,24,24,24
54,d063b7827a4d4faa8dd63c3862234a46,25,9,17,10,9,9,11,12,15,9,9,9,9,33,14,25,21,14,11,16,21,22,20,14,14,14
55,4a75e913e4fd4f7d86863dbbdd29c4df,27,9,14,7,13,12,12,9,12,8,9,9,9,37,19,23,16,19,12,20,19,20,15,19,19,19
56,fa45e2f1d8f04a8abe643bac5becdff4,25,13,12,9,10,11,13,13,14,10,13,13,13,35,25,26,16,13,13,26,24,24,17,25,25,25
57,d70a72ef31764c958a89efdba495e27f,21,11,16,10,12,6,11,14,15,9,11,11,11,32,16,24,23,19,7,15,20,25,22,16,16,16
58,671c867ca5294ce793ae0f910fe7359c,28,13,15,10,6,11,14,12,14,8,13,13,13,34,21,22,14,10,11,21,22,25,14,21,21,21
59,57ae31c408d540f7ac1441261c913369,26,14,8,16,16,6,15,14,10,15,14,14,14,35,26,26,20,21,6,25,26,25,20,26,26,26
60,1bb0ede01e914558bb92e22c32332c81,27,14,13,4,10,11,15,13,14,4,14,14,14,38,21,23,10,16,11,20,22,20,10,21,21,21
61,30461d73323942e09e6e1d55a53e83bc,27,14,10,13,11,10,9,9,9,13,14,14,14,38,27,26,22,17,10,20,20,23,22,27,27,27
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,23,7,12,9,7,10,11,11,12,10,7,7,7,36,22,24,15,10,10,27,25,23,16,22,22,22
63,5e65a3fee5f641e6b177ab86d6507eed,27,7,13,14,11,7,9,12,13,13,7,7,7,36,19,23,20,14,7,18,21,20,19,19,19,19
