,id,t1_sum,basic_agent_Match,arch_receiver_agent_Match,Greedy Agent_Match,med_agent_Match,t3_sum,basic_agent_t3_match,arch_receiver_agent_t3_match,Greedy Agent_t3_match,med_agent_t3_match
35,fee0d75f83794d6383798110a64f7764,13,6,6,10,8,19,6,6,19,9
36,673aafa20cbf4183806ee724605957c3,18,7,7,14,9,27,11,11,26,13
37,cad618c98fda480ba06d51ebbcce6770,16,8,7,13,9,27,11,11,24,11
38,b269b8d85ee740ed9d4974d059ebf00f,21,13,13,15,7,34,21,24,27,7
39,3cee0085f10d4161990d5d79b2452ac3,14,7,7,11,8,26,12,12,22,8
40,1e1560bf3241464aaa1131736f4fe141,24,8,8,21,13,31,10,10,29,16
41,c95f0320507e4905abc268571409ae40,18,2,2,18,4,32,2,2,32,4
42,327481965f0b4056bc1b3414484726b3,13,3,3,11,8,21,4,4,19,10
43,cf1b6ded54834ac2ba23a390cec38104,11,6,6,10,6,23,16,17,18,6
44,e0242bfd5aad459e997e8af1d05dba4d,19,3,3,14,11,28,5,5,26,13
45,00250a4028184369b1e36c609e6a33d2,26,9,14,15,9,39,23,26,28,9
46,ace85dddb7684bf3b3175c95e3da221b,17,6,6,11,9,30,8,8,28,11
47,eb8276be1b684bc182fa25ca9d9a308c,16,6,6,12,6,22,6,7,20,8
48,a1fade3eaab140ffaa00c9a4efc929f9,17,5,5,14,7,29,7,7,26,10
49,4c20b40883674ff5aa1d510927669033,19,3,2,18,11,33,3,2,32,12
50,c86e74bb29a746c5bb7c2e7508efb130,17,6,6,12,8,31,16,19,25,10
51,23d813a19df54aae92a97abbe0c11dfb,21,7,6,18,14,30,8,7,27,19
52,d1a30e4545c14fce8138ca875ccf4215,17,4,4,15,5,21,5,4,21,5
53,c41f46c29d6f4f1f9b60c37ffeaf7364,20,3,4,18,6,32,4,5,30,8
54,d063b7827a4d4faa8dd63c3862234a46,14,4,4,12,8,24,4,4,24,8
55,4a75e913e4fd4f7d86863dbbdd29c4df,19,2,2,16,9,25,3,3,25,11
56,fa45e2f1d8f04a8abe643bac5becdff4,20,9,10,15,8,31,19,22,24,9
57,d70a72ef31764c958a89efdba495e27f,18,2,2,18,5,24,2,2,24,5
58,671c867ca5294ce793ae0f910fe7359c,18,7,7,15,10,33,18,19,27,13
59,57ae31c408d540f7ac1441261c913369,19,7,7,11,10,37,19,20,27,11
60,1bb0ede01e914558bb92e22c32332c81,18,11,11,10,14,30,16,15,23,17
61,30461d73323942e09e6e1d55a53e83bc,17,10,10,13,8,27,12,13,26,10
