,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
38,84,84,84,32,84,84,84,221,84,84,84,84,42,False,False,False,False,False,False,False,False,False,False,False,False
39,77,232,77,77,232,77,77,232,77,77,77,77,232,False,True,False,False,True,False,False,True,False,False,False,False
40,30,30,30,0,30,30,30,30,30,30,30,30,60,False,False,False,False,False,False,False,False,False,False,False,False
41,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True,True,True,True,True,True,True,True,True
0,238,238,238,238,185,238,238,238,238,238,238,238,55,False,False,False,False,False,False,False,False,False,False,False,False
1,248,248,248,165,269,248,248,248,248,248,248,248,19,False,False,False,False,False,False,False,False,False,False,False,False
2,19,119,191,119,119,119,119,119,191,19,19,19,19,True,False,False,False,False,False,False,False,False,True,True,True
3,231,2,132,199,231,2,2,2,132,231,231,231,132,False,False,True,False,False,False,False,False,True,False,False,False
4,69,2,69,167,124,2,2,2,69,69,69,69,69,True,False,True,False,False,False,False,False,True,True,True,True
5,156,53,187,187,185,187,53,53,187,156,156,156,187,False,False,True,True,False,True,False,False,True,False,False,False
6,231,231,243,206,236,243,231,231,243,231,231,231,253,False,False,False,False,False,False,False,False,False,False,False,False
7,271,271,30,181,271,181,271,271,271,271,271,271,188,False,False,False,False,False,False,False,False,False,False,False,False
8,247,247,247,4,185,247,247,247,247,247,247,247,122,False,False,False,False,False,False,False,False,False,False,False,False
9,260,28,260,4,4,260,28,28,260,260,260,260,151,False,False,False,False,False,False,False,False,False,False,False,False
10,30,30,30,109,23,109,30,30,30,30,30,30,109,False,False,False,True,False,True,False,False,False,False,False,False
11,268,2,2,268,267,2,2,2,2,268,268,268,2,False,True,True,False,False,True,True,True,True,False,False,False
12,208,208,4,4,4,4,208,208,208,208,208,208,208,True,True,False,False,False,False,True,True,True,True,True,True
13,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
14,107,107,160,8,191,107,107,107,191,107,107,107,116,False,False,False,False,False,False,False,False,False,False,False,False
15,175,175,146,110,97,20,20,175,146,175,175,175,85,False,False,False,False,False,False,False,False,False,False,False,False
16,132,156,132,182,87,132,132,156,132,132,132,132,132,True,False,True,False,False,True,True,False,True,True,True,True
17,192,33,192,192,111,105,105,33,124,192,192,192,105,False,False,False,False,False,True,True,False,False,False,False,False
18,84,2,73,243,214,2,2,2,73,84,84,84,196,False,False,False,False,False,False,False,False,False,False,False,False
19,84,52,84,1,52,52,52,52,84,84,84,84,87,False,False,False,False,False,False,False,False,False,False,False,False
