,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
29,[205  61 120],[ 0 94 18],[271  61 205],[89 94  0],[ 91  90 105],[205  61 120],[271  61 205],[ 0 94 18],[271  61 205],[205  61 120],[205  61 120],[205  61 120],61,True,False,True,False,False,True,True,False,True,True,True,True
30,[157 199   7],[119  98   7],[157 199   7],[ 91  98 119],[90 91 46],[167 199 157],[157 199   7],[157 199   7],[157 199   7],[157 199   7],[157 199   7],[157 199   7],98,False,True,False,True,False,False,False,False,False,False,False,False
31,[206 214 228],[ 57  54 155],[206 228 214],[ 92  93 155],[271  92 163],[206 214 228],[228 214 206],[206 214 228],[206 214 228],[206 214 228],[206 214 228],[206 214 228],155,False,True,False,True,False,False,False,False,False,False,False,False
32,[  4  77 244],[244 248   4],[  4  77 244],[271 244 248],[ 89  90 221],[  4  77 244],[244   4  77],[  4  77 244],[  4  77 244],[  4  77 244],[  4  77 244],[  4  77 244],77,True,False,True,False,False,True,True,True,True,True,True,True
33,[ 25 119 206],[ 89 262 119],[206 119  25],[ 91 119  89],[271  90 215],[ 25 119 206],[119  25 206],[ 25 119 206],[119 206  25],[ 25 119 206],[ 25 119 206],[ 25 119 206],119,True,True,True,True,False,True,True,True,True,True,True,True
34,[ 20 244 134],[244 107  95],[ 20 244 134],[ 91 244  95],[271  92 244],[ 20 244 134],[ 20 244 134],[ 20 244 134],[ 20 244 134],[ 20 244 134],[ 20 244 134],[ 20 244 134],244,True,True,True,True,True,True,True,True,True,True,True,True
35,[120 144 199],[236 120 260],[120 144 199],[ 91  92 271],[ 90  91 260],[120 144 199],[120 144 199],[120 144 199],[120 144 199],[120 144 199],[120 144 199],[120 144 199],120,True,True,True,False,False,True,True,True,True,True,True,True
36,[143 140 244],[208  95 260],[143 140 244],[271 244  95],[271  90 208],[143 140 244],[143 140 244],[143 140 244],[143 140 244],[143 140 244],[143 140 244],[143 140 244],143,True,False,True,False,False,True,True,True,True,True,True,True
37,[259 232 271],[198  94 271],[259 232 271],[ 91 135  94],[271  90 259],[259 232 271],[259 232 271],[259 232 271],[259 232 271],[259 232 271],[259 232 271],[259 232 271],94,False,True,False,True,False,False,False,False,False,False,False,False
38,[259 119 199],[ 89  90 119],[259 119 199],[ 89  90 119],[ 91  92 164],[259 119 199],[259 119 199],[259 119 199],[259 119 199],[259 119 199],[259 119 199],[259 119 199],119,True,True,True,True,False,True,True,True,True,True,True,True
39,[215  57 163],[ 91 271  57],[215  57 163],[ 91  92 271],[271  92 163],[215  57 163],[215  57 163],[215  57 163],[215  57 163],[215  57 163],[215  57 163],[215  57 163],57,True,True,True,False,False,True,True,True,True,True,True,True
40,[ 88 215  92],[ 90  91 271],[ 88 215  92],[ 90  91 271],[90 91 92],[ 88 215  92],[ 88 215  92],[ 88 215  92],[ 88 215  92],[ 88 215  92],[ 88 215  92],[ 88 215  92],92,True,False,True,False,True,True,True,True,True,True,True,True
