,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
3,[ 66 262  84],[ 84  66 262],[ 66 262  84],[129 262  84],[90 91 84],[ 84  66 262],[ 84  66 262],[ 84  66 262],[ 66 262  84],[ 66 262  84],[ 66 262  84],[ 66 262  84],24,False,False,False,False,False,False,False,False,False,False,False,False
4,[188 269 260],[269 188 260],[188 269 260],[157 260 269],[90 91 86],[269 188 260],[269 188 260],[269 188 260],[188 269 260],[188 269 260],[188 269 260],[188 269 260],269,True,True,True,True,False,True,True,True,True,True,True,True
5,[167 259 143],[157 167  72],[167 259 143],[157 167 143],[ 92 167 271],[ 46 143 259],[157 167  72],[157 167  72],[167 259 143],[167 259 143],[167 259 143],[167 259 143],72,False,True,False,False,False,False,True,True,False,False,False,False
6,[  2 244 167],[  2  75 244],[  2 167 244],[ 12 167 244],[271  92 244],[244  91 167],[  2  75 244],[  2  75 244],[167   2 244],[  2 244 167],[  2 244 167],[  2 244 167],181,False,False,False,False,False,False,False,False,False,False,False,False
7,[ 53  16 198],[198  53 195],[ 16  53 198],[ 16 165 198],[ 91  92 198],[ 16  53 198],[198  53 195],[198  53 195],[ 16  53 198],[ 53  16 198],[ 53  16 198],[ 53  16 198],195,False,True,False,False,False,False,True,True,False,False,False,False
8,[185  30 123],[ 30 178 123],[185  30 123],[185 178 123],[ 89  90 123],[185  30 123],[ 30 178 123],[ 30 178 123],[185  30 123],[185  30 123],[185  30 123],[185  30 123],224,False,False,False,False,False,False,False,False,False,False,False,False
9,[203  57  53],[ 53  57 203],[203  57  53],[ 53  57 203],[271  90  53],[ 53  57 203],[ 53  57 203],[ 53  57 203],[203  57  53],[203  57  53],[203  57  53],[203  57  53],203,True,True,True,True,False,True,True,True,True,True,True,True
10,[173 244 167],[167 173 244],[173 167 244],[173 167 244],[ 92  91 173],[244 167  91],[167 173 244],[167 173 244],[173 167 244],[173 244 167],[173 244 167],[173 244 167],91,False,False,False,False,True,True,False,False,False,False,False,False
11,[241 262  84],[241  84 262],[241 262  84],[241 262  84],[90 91 84],[241 262  84],[241  84 262],[241  84 262],[241 262  84],[241 262  84],[241 262  84],[241 262  84],241,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 92  91 243],[ 92  91 243],[ 92  91 243],[ 92  91 243],[ 91  92 243],[ 92 243  91],[ 92  91 243],[ 92  91 243],[ 92  91 243],[ 92  91 243],[ 92  91 243],[ 92  91 243],243,True,True,True,True,True,True,True,True,True,True,True,True
13,[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],[ 89  90 222],222,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 57 220   6],[  3 220 247],[ 57 220   6],[  6 220 119],[271  90 259],[ 57 220   6],[  3 220 247],[  3 220 247],[ 57 220   6],[ 57 220   6],[ 57 220   6],[ 57 220   6],220,True,True,True,True,False,True,True,True,True,True,True,True
15,[123 129  97],[123  65 180],[123 129  97],[129  97 119],[271  91 249],[129 123  97],[129 123  97],[123  65 180],[123 129  97],[123 129  97],[123 129  97],[123 129  97],180,False,True,False,False,False,False,False,True,False,False,False,False
16,[209  57 269],[119  56 268],[209  57 269],[209 119 269],[271  91 231],[209  57 269],[209  57 269],[119  56 268],[209  57 269],[209  57 269],[209  57 269],[209  57 269],56,False,True,False,False,False,False,False,True,False,False,False,False
