,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
7,[214  30   2],[120   2 214],[120   2 214],[ 91 214 120],[ 89  90 120],[  2 214  30],[120   2 214],[120   2 214],[  2 120 214],[214  30   2],[214  30   2],[214  30   2],140,False,False,False,False,False,False,False,False,False,False,False,False
8,[ 28   2 231],[ 28   2 231],[ 28 231   2],[231 199 120],[ 92   2 271],[ 77   2 231],[ 28   2 231],[ 28   2 231],[ 77   2 231],[ 28   2 231],[ 28   2 231],[ 28   2 231],231,True,True,True,True,False,True,True,True,True,True,True,True
9,[229 243 167],[167 195 243],[229 243 167],[243 167 229],[ 92 167 271],[167 243  54],[167 195 243],[167 195 243],[229 243 167],[229 243 167],[229 243 167],[229 243 167],167,True,True,True,True,True,True,True,True,True,True,True,True
10,[ 77 156 161],[182 161 156],[182 156 161],[ 88  77 182],[ 90 271 156],[ 77 156 161],[182 161 156],[182 161 156],[ 77 156 161],[ 77 156 161],[ 77 156 161],[ 77 156 161],77,True,False,False,True,False,True,False,False,True,True,True,True
11,[271   2 224],[271   2 224],[271   2 224],[271   2 224],[ 91 271  23],[271   2 224],[271   2 224],[271   2 224],[271   2 224],[271   2 224],[271   2 224],[271   2 224],224,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 93 163 161],[ 93 163 161],[ 93 163 161],[ 90  91 271],[ 92  87 161],[ 93 163 161],[ 93 163 161],[ 93 163 161],[ 93 163 161],[ 93 163 161],[ 93 163 161],[ 93 163 161],161,True,True,True,False,True,True,True,True,True,True,True,True
13,[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],[ 90  91 203],203,True,True,True,True,True,True,True,True,True,True,True,True
14,[133   0  24],[187  24 133],[  0 133  24],[187  86  61],[90 91  0],[133  24 163],[187  24 133],[187  24 133],[187  24   0],[133   0  24],[133   0  24],[133   0  24],0,True,False,True,False,True,False,False,False,True,True,True,True
15,[111 209 260],[209 111 260],[191 209 260],[111 209 244],[ 91 257 271],[111 208 260],[257 205 191],[209 111 260],[111 209 260],[111 209 260],[111 209 260],[111 209 260],209,True,True,True,True,False,False,False,True,True,True,True,True
16,[209 231  53],[ 26 231  53],[184  53 231],[184 209   1],[ 92 271  26],[231 209 198],[  4 231  53],[ 26 231  53],[ 53 184 231],[209 231  53],[209 231  53],[209 231  53],209,True,False,False,True,False,True,False,False,False,True,True,True
17,[ 31   2 203],[  2 203  31],[181 203   2],[203 165  61],[ 91 271  23],[221 267  31],[267  31 203],[  2 203  31],[181 203   2],[ 31   2 203],[ 31   2 203],[ 31   2 203],203,True,True,True,True,False,False,True,True,True,True,True,True
18,[198 161  65],[120 161  65],[198 161  65],[ 91 120  65],[ 92  87 161],[ 60 198 161],[ 65 161  91],[120 161  65],[198 161  65],[198 161  65],[198 161  65],[198 161  65],98,False,False,False,False,False,False,False,False,False,False,False,False
19,[ 65 231 258],[231   2  65],[231   2  65],[258 231 157],[ 92   2 271],[258 208 161],[ 46 231 258],[231   2  65],[231   2  65],[ 65 231 258],[ 65 231 258],[ 65 231 258],231,True,True,True,True,False,False,True,True,True,True,True,True
20,[ 17  46 191],[165  17 188],[ 17  46 191],[ 46 191 165],[ 90  91 191],[ 46 191 208],[ 17  46 191],[165  17 188],[ 17  46 191],[ 17  46 191],[ 17  46 191],[ 17  46 191],191,True,False,True,True,True,True,True,False,True,True,True,True
21,[215 234 226],[226 234 215],[215 234 226],[ 86  61 178],[ 92  87 178],[226 178 215],[215 234 226],[226 234 215],[215 234 226],[215 234 226],[215 234 226],[215 234 226],226,True,True,True,False,False,True,True,True,True,True,True,True
22,[ 72 217 214],[217  72 214],[217 214  72],[217 229  86],[271  91  72],[229 214 217],[229 217 214],[217  72 214],[217 214  72],[ 72 217 214],[ 72 217 214],[ 72 217 214],214,True,True,True,False,False,True,True,True,True,True,True,True
23,[244 205 191],[208 205 244],[208 205 191],[257 191 244],[271  90 208],[205 191 208],[257 205 191],[208 205 244],[208 205 191],[244 205 191],[244 205 191],[244 205 191],191,True,False,True,True,False,True,True,False,True,True,True,True
24,[184  53 231],[184 231  53],[ 53 184 231],[  4 231 184],[271  90 184],[  4  53 231],[  4  53 231],[184 231  53],[ 53 184 231],[184  53 231],[184  53 231],[184  53 231],4,False,False,False,True,False,True,True,False,False,False,False,False
25,[ 92  62 267],[ 92  62 267],[ 92  62 267],[91 92 62],[91 92 62],[ 92  62 267],[ 92  62 267],[ 92  62 267],[ 92  62 267],[ 92  62 267],[ 92  62 267],[ 92  62 267],62,True,True,True,True,True,True,True,True,True,True,True,True
26,[ 91 164 198],[ 91 164 198],[ 91 164 198],[ 90  91 271],[ 91  92 198],[ 91 164 198],[ 91 164 198],[ 91 164 198],[ 91 164 198],[ 91 164 198],[ 91 164 198],[ 91 164 198],164,True,True,True,False,False,True,True,True,True,True,True,True
27,[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],[271  90 208],208,True,True,True,True,True,True,True,True,True,True,True,True
28,[ 52 138 107],[ 52 138 107],[ 52 138 107],[182  96 138],[92 87 42],[101 138 267],[ 91  17 101],[ 52 138 107],[138  52 107],[ 52 138 107],[ 52 138 107],[ 52 138 107],138,True,True,True,True,False,True,False,True,True,True,True,True
29,[260 248 102],[260 102 248],[232 102   4],[248 110  94],[ 91  86 110],[102 164 260],[232 102   4],[260 102 248],[232 102   4],[260 248 102],[260 248 102],[260 248 102],33,False,False,False,False,False,False,False,False,False,False,False,False
30,[215  80 238],[ 80  26 238],[ 80 238 181],[165  80 238],[ 91  92 198],[238 198 215],[ 80 238  91],[215  80 238],[181  89 238],[215  80 238],[215  80 238],[215  80 238],238,True,True,True,True,False,True,True,True,True,True,True,True
31,[231 203 107],[231 156 107],[231 203 107],[203 107 167],[ 90 271 214],[198 156 124],[214 203 231],[231 203 107],[231 203 107],[231 203 107],[231 203 107],[231 203 107],167,False,False,False,True,False,False,False,False,False,False,False,False
32,[ 20 242 268],[165  97 268],[ 20 242 268],[242  86 165],[ 90  91 103],[ 77 268  97],[ 97  77 268],[ 20 242 268],[ 97 242 268],[ 20 242 268],[ 20 242 268],[ 20 242 268],77,False,False,False,False,False,True,True,False,False,False,False,False
33,[132 203  67],[132  67 203],[132 203  67],[ 67 246 120],[ 91 206 271],[132 203 221],[ 21 206 203],[132 203  67],[132 203  67],[132 203  67],[132 203  67],[132 203  67],203,True,True,True,False,False,True,True,True,True,True,True,True
34,[149 203 242],[149 203 242],[ 91 242 203],[222 203 242],[ 90  91 203],[242  91 203],[222 203  91],[149 203 242],[ 91 242 203],[149 203 242],[149 203 242],[149 203 242],203,True,True,True,True,True,True,True,True,True,True,True,True
35,[103 214 191],[191 214 208],[103 214 191],[224 191 103],[ 89 271 224],[214 191 208],[224 214 191],[103 214 191],[103 214 191],[103 214 191],[103 214 191],[103 214 191],148,False,False,False,False,False,False,False,False,False,False,False,False
36,[267  52 242],[ 17  52 267],[242  52 267],[242  52 182],[ 90  91 182],[ 17  52 267],[267  91  17],[267  52 242],[242  52 267],[267  52 242],[267  52 242],[267  52 242],17,False,True,False,False,False,True,True,False,False,False,False,False
37,[  6   4 232],[  6   4 232],[  6   4 232],[  6   4 232],[ 90  91 232],[  4 232 164],[  6   4 232],[  6   4 232],[164   4 232],[  6   4 232],[  6   4 232],[  6   4 232],232,True,True,True,True,True,True,True,True,True,True,True,True
38,[165 215  91],[ 91 215 165],[165 215  91],[271  91 165],[271  90 215],[165 215  91],[165 215  91],[165 215  91],[165 215  91],[165 215  91],[165 215  91],[165 215  91],91,True,True,True,True,False,True,True,True,True,True,True,True
39,[ 77 229 198],[ 77 198 229],[229  77 198],[ 89  77 229],[ 91  92 198],[229  77 198],[198 229  77],[ 77 198 229],[229 198  77],[ 77 229 198],[ 77 229 198],[ 77 229 198],77,True,True,True,True,False,True,True,True,True,True,True,True
40,[ 91 165 242],[ 91 242 165],[ 91 165 242],[ 91 242 165],[271  91 242],[ 91 165 242],[ 91 165 242],[ 91 165 242],[ 91 165 242],[ 91 165 242],[ 91 165 242],[ 91 165 242],165,True,True,True,True,False,True,True,True,True,True,True,True
41,[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],[ 92  87 246],246,True,True,True,True,True,True,True,True,True,True,True,True
0,[250  67 203],[203 250  67],[250  67 203],[120 142 250],[90 91 67],[203 250  67],[203 250  67],[203 250  67],[250  67 203],[250  67 203],[250  67 203],[250  67 203],250,True,True,True,True,False,True,True,True,True,True,True,True
1,[ 73   0 203],[106  73 203],[232  17 203],[106 246 167],[90 91 16],[106  73 203],[106  73 203],[106  73 203],[232  17 203],[ 73   0 203],[ 73   0 203],[ 73   0 203],73,True,True,False,False,False,True,True,True,False,True,True,True
