,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
26,[ 90 199 149],[ 90 199 149],[ 90 199 149],[ 90 199 149],[ 90 271 149],[ 90 199 149],[ 90 199 149],[ 90 199 149],[ 90 199 149],[ 90 199 149],[ 90 199 149],[ 90 199 149],149,True,True,True,True,True,True,True,True,True,True,True,True
27,[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],[ 89  90 220],220,True,True,True,True,True,True,True,True,True,True,True,True
28,[238  92 223],[ 47 223 221],[253  92 223],[ 86  47 238],[90 91 86],[253  92 223],[238  92 223],[ 47 223 221],[253  92 223],[238  92 223],[238  92 223],[238  92 223],223,True,True,True,False,False,True,True,True,True,True,True,True
29,[  4 245 150],[157  52 150],[ 52 259 150],[160 157 245],[ 91  92 198],[  4 245 150],[ 52   2 150],[157  52 150],[160 150 259],[  4 245 150],[  4 245 150],[  4 245 150],269,False,False,False,False,False,False,False,False,False,False,False,False
30,[146 188 143],[146 222 143],[146 188 143],[146 222 119],[ 90  91 188],[146 188 143],[ 20 188 143],[ 20 188 143],[146 188 143],[146 188 143],[146 188 143],[146 188 143],188,True,False,True,False,True,True,True,True,True,True,True,True
31,[158  17 188],[ 62  17 188],[158  62 188],[228 244  94],[91 92 62],[158  17 188],[ 17 158 188],[ 17 158 188],[158  62 188],[158  17 188],[158  17 188],[158  17 188],100,False,False,False,False,False,False,False,False,False,False,False,False
32,[  2 146  94],[  1 256 146],[ 2  1 94],[33  1 94],[90 91  1],[  2 146  94],[146   2  94],[146   2  94],[146   1  94],[  2 146  94],[  2 146  94],[  2 146  94],163,False,False,False,False,False,False,False,False,False,False,False,False
33,[167  89  92],[ 89 167 220],[167  89  92],[173 167  86],[ 92  91 173],[167  89  92],[167  89  92],[167  89  92],[167  89  92],[167  89  92],[167  89  92],[167  89  92],73,False,False,False,False,False,False,False,False,False,False,False,False
34,[157 129 231],[129 263 157],[259 157 129],[231 244 157],[271  90 259],[157 231 129],[157 129 231],[157 129 231],[157 259 129],[157 129 231],[157 129 231],[157 129 231],10,False,False,False,False,False,False,False,False,False,False,False,False
35,[ 20 247 157],[ 20 247 157],[ 20 247 157],[247  20 157],[ 90  91 157],[ 20 247 157],[157 247  20],[157 247  20],[ 20 247 157],[ 20 247 157],[ 20 247 157],[ 20 247 157],123,False,False,False,False,False,False,False,False,False,False,False,False
36,[ 86 258  92],[ 92 221  91],[ 86 258  92],[92 91 86],[ 89  90 221],[ 86 258  92],[ 86 258  92],[ 86 258  92],[258  86  92],[ 86 258  92],[ 86 258  92],[ 86 258  92],221,False,True,False,False,True,False,False,False,False,False,False,False
