,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
22,[262 178 269],[  6 178 269],[262 178 269],[  6 262 178],[ 91  92 247],[262 178 269],[262 178 269],[  6 178 269],[262 178 269],[262 178 269],[262 178 269],[262 178 269],262,True,False,True,True,False,True,True,False,True,True,True,True
23,[158 224 188],[158 188 224],[158 224 188],[158 224 188],[ 89 271 224],[158 224 188],[158 224 188],[158 188 224],[158 224 188],[158 224 188],[158 224 188],[158 224 188],224,True,True,True,True,True,True,True,True,True,True,True,True
24,[258 215   1],[258 215   1],[258 215   1],[ 57 258   1],[ 91 271  57],[258 215   1],[258 215   1],[258 215   1],[258 215   1],[258 215   1],[258 215   1],[258 215   1],258,True,True,True,True,False,True,True,True,True,True,True,True
25,[267 158  46],[267 158  46],[267 158  46],[267 158  46],[271  91 158],[267 158  46],[267 158  46],[267 158  46],[267 158  46],[267 158  46],[267 158  46],[267 158  46],158,True,True,True,True,True,True,True,True,True,True,True,True
26,[271  57 215],[271  57 215],[271  57 215],[271 215  57],[ 91 271  57],[271  57 215],[271  57 215],[271  57 215],[271  57 215],[271  57 215],[271  57 215],[271  57 215],215,True,True,True,True,False,True,True,True,True,True,True,True
27,[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],163,True,True,True,True,True,True,True,True,True,True,True,True
28,[ 94 255 201],[ 94 255 201],[ 94 255 201],[ 80  94 201],[90 91 80],[ 94 255 201],[ 94 255 201],[ 94 255 201],[ 94 255 201],[ 94 255 201],[ 94 255 201],[ 94 255 201],201,True,True,True,True,False,True,True,True,True,True,True,True
29,[119 260 138],[248 138 260],[119 260 138],[253 119 138],[ 92  87 246],[119 260 138],[119 260 138],[248 138 260],[119 260 138],[119 260 138],[119 260 138],[119 260 138],138,True,True,True,True,False,True,True,True,True,True,True,True
30,[ 36 124 209],[209  36 155],[155 209 124],[101 155 209],[ 91 271 262],[ 36 124 209],[124  36 209],[124 209 155],[155 209 124],[ 36 124 209],[ 36 124 209],[ 36 124 209],36,True,True,False,False,False,True,True,False,False,True,True,True
31,[ 17 203  42],[ 17 178 203],[ 17 203  42],[203  42 178],[91 92 62],[ 17 203  42],[ 17  42 203],[ 42 178 203],[ 17 203  42],[ 17 203  42],[ 17 203  42],[ 17 203  42],243,False,False,False,False,False,False,False,False,False,False,False,False
32,[143  92 151],[151  92   6],[143  92 151],[ 92 246  86],[271  90 215],[143  92 151],[143  92 151],[ 86 151  92],[143  92 151],[143  92 151],[143  92 151],[143  92 151],181,False,False,False,False,False,False,False,False,False,False,False,False
33,[ 94 175   0],[ 94 175   0],[ 94 175   0],[246   0  94],[ 90  91 185],[ 94 175   0],[ 94 175   0],[175  94   0],[ 94 175   0],[ 94 175   0],[ 94 175   0],[ 94 175   0],132,False,False,False,False,False,False,False,False,False,False,False,False
34,[ 67 241 190],[241  36 190],[ 67 241 190],[ 52  67 190],[ 92  36 271],[ 67 241 190],[ 67 241 190],[241  67 190],[ 67 241 190],[ 67 241 190],[ 67 241 190],[ 67 241 190],36,False,True,False,False,True,False,False,False,False,False,False,False
35,[267 242 191],[267 242 191],[267 242 191],[259 242 191],[90 91 84],[267 242 191],[267 242 191],[267 242 191],[267 242 191],[267 242 191],[267 242 191],[267 242 191],191,True,True,True,True,False,True,True,True,True,True,True,True
