,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
1,[  4 142 209],[142  28  75],[185 184  75],[184 142 209],[271  92 142],[142  28  75],[142  28  75],[142  28  75],[185 184  75],[  4 142 209],[  4 142 209],[  4 142 209],142,True,True,False,True,True,True,True,True,False,True,True,True
2,[198 150 146],[198 146 150],[146 150 185],[271 150 146],[271  91 181],[198 146 150],[198 146 150],[198 146 150],[146 185 150],[198 150 146],[198 150 146],[198 150 146],218,False,False,False,False,False,False,False,False,False,False,False,False
3,[271 132 256],[271 132 256],[132 143 200],[ 91  20 132],[ 92 271 143],[271 132 256],[271 132 256],[271 132 256],[253 143 200],[271 132 256],[271 132 256],[271 132 256],60,False,False,False,False,False,False,False,False,False,False,False,False
4,[ 89 198 247],[178 247 198],[143 122 247],[ 91   2 247],[ 91  92 198],[178 247 198],[178 247 198],[178 247 198],[143 122 247],[ 89 198 247],[ 89 198 247],[ 89 198 247],178,False,True,False,False,False,True,True,True,False,False,False,False
5,[132 220 258],[220 258 132],[220 132  84],[ 92 187 132],[ 91  90 258],[ 84 132 220],[220 258 132],[220 258 132],[220  84 132],[132 220 258],[132 220 258],[132 220 258],220,True,True,True,False,False,True,True,True,True,True,True,True
6,[ 89  77 267],[253 267  77],[151  77  22],[ 89  77 214],[91 92 77],[ 89 267  77],[253 267  77],[253 267  77],[ 77 151  22],[ 89  77 267],[ 89  77 267],[ 89  77 267],87,False,False,False,False,False,False,False,False,False,False,False,False
7,[ 92  93 248],[ 57 248  54],[ 57  54 149],[ 91 271 248],[271  91 199],[271 248  54],[ 57 248  54],[ 57 248  54],[ 57  54 149],[ 92  93 248],[ 92  93 248],[ 92  93 248],10,False,False,False,False,False,False,False,False,False,False,False,False
8,[ 91  92 267],[267  75 208],[ 75 208 129],[271 242  75],[271  91 129],[242 267 208],[267  75 208],[267  75 208],[267 208 129],[ 91  92 267],[ 91  92 267],[ 91  92 267],129,False,False,True,False,True,False,False,False,True,False,False,False
9,[ 93 184  28],[184  28  75],[ 75 185 184],[ 28  75 184],[91 92 28],[  6 184  28],[184  28  75],[184  28  75],[ 75 185 184],[ 93 184  28],[ 93 184  28],[ 93 184  28],184,True,True,True,True,False,True,True,True,True,True,True,True
10,[ 91  92 198],[ 91  92 198],[ 88 198 185],[ 90  91 271],[ 90  91 228],[ 91  92 198],[ 91  92 198],[ 91  92 198],[ 88 198 185],[ 91  92 198],[ 91  92 198],[ 91  92 198],185,False,False,True,False,False,False,False,False,True,False,False,False
