,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
38,129,268,129,129,231,129,129,129,129,129,129,129,236,False,False,False,False,False,False,False,False,False,False,False,False
39,28,28,28,28,91,28,28,28,28,28,28,28,30,False,False,False,False,False,False,False,False,False,False,False,False
40,143,143,143,143,143,143,143,143,143,143,143,143,185,False,False,False,False,False,False,False,False,False,False,False,False
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,255,146,255,255,245,146,146,146,255,255,255,255,201,False,False,False,False,False,False,False,False,False,False,False,False
1,124,215,124,167,4,215,215,215,124,124,124,124,173,False,False,False,False,False,False,False,False,False,False,False,False
2,10,209,10,209,4,209,209,209,10,10,10,10,209,False,True,False,True,False,True,True,True,False,False,False,False
3,156,142,156,142,222,142,142,142,156,156,156,156,8,False,False,False,False,False,False,False,False,False,False,False,False
4,262,262,262,262,191,262,262,262,97,262,262,262,12,False,False,False,False,False,False,False,False,False,False,False,False
5,209,7,209,209,62,209,7,7,209,209,209,209,209,True,False,True,True,False,True,False,False,True,True,True,True
6,84,67,84,84,91,84,67,67,84,84,84,84,67,False,True,False,False,False,False,True,True,False,False,False,False
7,28,28,28,28,243,28,28,28,28,28,28,28,103,False,False,False,False,False,False,False,False,False,False,False,False
8,23,245,23,245,214,23,245,245,23,23,23,23,245,False,True,False,True,False,False,True,True,False,False,False,False
9,42,42,42,167,4,42,42,42,42,42,42,42,167,False,False,False,True,False,False,False,False,False,False,False,False
10,10,42,10,10,4,10,42,42,10,10,10,10,86,False,False,False,False,False,False,False,False,False,False,False,False
11,156,156,156,156,222,156,156,156,156,156,156,156,167,False,False,False,False,False,False,False,False,False,False,False,False
12,262,262,262,262,262,262,262,262,262,262,262,262,2,False,False,False,False,False,False,False,False,False,False,False,False
13,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
14,0,0,0,0,72,0,0,0,0,0,0,0,209,False,False,False,False,False,False,False,False,False,False,False,False
15,262,262,262,262,262,262,262,262,262,262,262,262,128,False,False,False,False,False,False,False,False,False,False,False,False
16,98,271,98,120,259,98,98,271,98,98,98,98,12,False,False,False,False,False,False,False,False,False,False,False,False
17,255,24,255,255,72,255,255,24,255,255,255,255,120,False,False,False,False,False,False,False,False,False,False,False,False
18,92,67,92,92,143,92,92,67,92,92,92,92,182,False,False,False,False,False,False,False,False,False,False,False,False
19,129,24,129,28,53,129,129,24,129,129,129,129,53,False,False,False,False,True,False,False,False,False,False,False,False
20,262,215,262,262,35,262,262,215,262,262,262,262,191,False,False,False,False,False,False,False,False,False,False,False,False
21,262,262,262,262,20,262,262,262,262,262,262,262,231,False,False,False,False,False,False,False,False,False,False,False,False
