,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
5,[ 94 124  95],[124  94 119],[ 94 124  95],[124  94  95],[271  91  95],[ 94 124  95],[124  94 119],[124  94 119],[ 94 124  95],[ 94 124  95],[ 94 124  95],[ 94 124  95],95,True,False,True,True,True,True,False,False,True,True,True,True
6,[185  23   6],[112 187 247],[185  23   6],[185   6 157],[ 90  91 187],[185  23   6],[112 187 247],[112 187 247],[185  23   6],[185  23   6],[185  23   6],[185  23   6],187,False,True,False,False,True,False,True,True,False,False,False,False
7,[194  60 253],[157 178 214],[194  60 253],[ 60 182 157],[ 90 271 214],[194  60 253],[157 178 214],[157 178 214],[194  60 253],[194  60 253],[194  60 253],[194  60 253],60,True,False,True,True,False,True,False,False,True,True,True,True
8,[236 188 200],[165  17 188],[236 188 200],[200 188 165],[90 91 17],[236 188 200],[165  17 188],[165  17 188],[236 188 200],[236 188 200],[236 188 200],[236 188 200],200,True,False,True,True,False,True,False,False,True,True,True,True
9,[268 156  84],[268 256 156],[268 156  84],[268 156  84],[ 90 271 156],[268 156  84],[268 256 156],[268 256 156],[268 156  84],[268 156  84],[268 156  84],[268 156  84],156,True,True,True,True,True,True,True,True,True,True,True,True
10,[214  60  23],[228 214  23],[214  60  23],[ 23 228  60],[ 90 271 214],[214  60  23],[228 214  23],[228 214  23],[214  60  23],[214  60  23],[214  60  23],[214  60  23],60,True,False,True,True,False,True,False,False,True,True,True,True
11,[206 236 164],[236 164 206],[206 236 164],[206 236 164],[ 91 206 271],[206 236 164],[236 164 206],[236 164 206],[206 236 164],[206 236 164],[206 236 164],[206 236 164],164,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 91  53 236],[ 91 236  53],[ 91  53 236],[ 91  53 236],[ 90  91 236],[ 91  53 236],[ 91 236  53],[ 91 236  53],[ 91  53 236],[ 91  53 236],[ 91  53 236],[ 91  53 236],236,True,True,True,True,True,True,True,True,True,True,True,True
13,[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],[ 90 271 156],156,True,True,True,True,True,True,True,True,True,True,True,True
14,[161 143 124],[203 177 124],[ 23 143 124],[143 124 167],[271  91 158],[161 143 124],[203 177 124],[203 177 124],[ 23 143 124],[161 143 124],[161 143 124],[161 143 124],252,False,False,False,False,False,False,False,False,False,False,False,False
