,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
37,154,154,154,154,199,271,271,154,154,154,154,154,271,False,False,False,False,False,True,True,False,False,False,False,False
38,129,129,129,129,129,129,129,129,129,129,129,129,84,False,False,False,False,False,False,False,False,False,False,False,False
39,92,222,222,222,52,222,222,92,222,92,92,92,52,False,False,False,False,True,False,False,False,False,False,False,False
40,105,4,105,4,105,4,4,105,105,105,105,105,4,False,True,False,True,False,True,True,False,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,150,150,150,238,213,150,150,150,150,150,150,150,127,False,False,False,False,False,False,False,False,False,False,False,False
1,146,26,10,68,52,26,26,26,10,146,146,146,93,False,False,False,False,False,False,False,False,False,False,False,False
2,238,101,238,238,158,101,101,101,238,238,238,238,168,False,False,False,False,False,False,False,False,False,False,False,False
3,140,140,24,157,260,140,140,140,24,140,140,140,260,False,False,False,False,True,False,False,False,False,False,False,False
4,188,167,167,167,105,167,167,167,105,188,188,188,221,False,False,False,False,False,False,False,False,False,False,False,False
5,96,96,96,96,246,96,96,96,96,96,96,96,96,True,True,True,True,False,True,True,True,True,True,True,True
6,242,4,242,86,242,86,4,4,242,242,242,242,198,False,False,False,False,False,False,False,False,False,False,False,False
7,96,96,96,96,96,96,96,96,96,96,96,96,72,False,False,False,False,False,False,False,False,False,False,False,False
8,150,150,150,150,161,150,150,150,150,150,150,150,150,True,True,True,True,False,True,True,True,True,True,True,True
9,146,146,146,244,146,244,146,146,146,146,146,146,60,False,False,False,False,False,False,False,False,False,False,False,False
10,77,101,77,101,23,101,101,101,77,77,77,77,87,False,False,False,False,False,False,False,False,False,False,False,False
11,222,222,62,222,62,222,222,222,62,222,222,222,163,False,False,False,False,False,False,False,False,False,False,False,False
12,165,165,257,165,165,165,165,165,257,165,165,165,257,False,False,True,False,False,False,False,False,True,False,False,False
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,95,167,95,167,167,167,167,167,95,95,95,95,118,False,False,False,False,False,False,False,False,False,False,False,False
15,142,142,160,142,28,142,142,142,160,142,142,142,48,False,False,False,False,False,False,False,False,False,False,False,False
16,56,154,154,167,52,167,167,154,154,56,56,56,25,False,False,False,False,False,False,False,False,False,False,False,False
17,94,94,140,94,94,94,94,94,140,94,94,94,19,False,False,False,False,False,False,False,False,False,False,False,False
18,146,146,146,1,61,1,1,146,146,146,146,146,73,False,False,False,False,False,False,False,False,False,False,False,False
19,89,203,203,165,259,165,165,203,203,89,89,89,212,False,False,False,False,False,False,False,False,False,False,False,False
20,94,94,140,94,140,94,94,94,140,94,94,94,220,False,False,False,False,False,False,False,False,False,False,False,False
21,67,67,229,244,144,244,244,67,67,67,67,67,72,False,False,False,False,False,False,False,False,False,False,False,False
22,107,167,149,167,165,167,167,167,167,107,107,107,107,True,False,False,False,False,False,False,False,False,True,True,True
23,188,188,188,157,157,157,157,188,188,188,188,188,161,False,False,False,False,False,False,False,False,False,False,False,False
24,167,167,271,167,60,167,167,167,271,167,167,167,60,False,False,False,False,True,False,False,False,False,False,False,False
25,140,140,140,140,77,140,140,140,140,140,140,140,77,False,False,False,False,True,False,False,False,False,False,False,False
26,146,146,146,146,146,146,146,146,218,146,146,146,218,False,False,False,False,False,False,False,False,True,False,False,False
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,174,174,67,120,49,120,120,174,62,174,174,174,97,False,False,False,False,False,False,False,False,False,False,False,False
29,0,167,0,238,61,238,238,167,0,0,0,0,118,False,False,False,False,False,False,False,False,False,False,False,False
30,209,209,56,209,231,209,209,209,56,209,209,209,269,False,False,False,False,False,False,False,False,False,False,False,False
31,203,203,15,167,28,167,167,167,15,203,203,203,195,False,False,False,False,False,False,False,False,False,False,False,False
32,89,146,89,228,75,228,228,228,89,89,89,89,67,False,False,False,False,False,False,False,False,False,False,False,False
33,253,253,253,244,30,244,244,244,253,253,253,253,144,False,False,False,False,False,False,False,False,False,False,False,False
34,146,146,229,146,215,146,146,146,229,146,146,146,221,False,False,False,False,False,False,False,False,False,False,False,False
35,107,107,191,107,54,191,191,191,191,107,107,107,60,False,False,False,False,False,False,False,False,False,False,False,False
36,146,146,146,146,156,146,146,146,62,146,146,146,156,False,False,False,False,True,False,False,False,False,False,False,False
37,231,167,231,167,208,167,167,167,231,231,231,231,208,False,False,False,False,True,False,False,False,False,False,False,False
38,231,231,231,231,231,231,231,231,231,231,231,231,236,False,False,False,False,False,False,False,False,False,False,False,False
39,28,28,28,91,28,91,91,91,28,28,28,28,30,False,False,False,False,False,False,False,False,False,False,False,False
40,143,143,143,143,143,143,143,143,143,143,143,143,185,False,False,False,False,False,False,False,False,False,False,False,False
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,255,255,255,245,47,255,255,255,255,255,255,255,201,False,False,False,False,False,False,False,False,False,False,False,False
1,140,167,140,167,56,167,167,167,140,140,140,140,173,False,False,False,False,False,False,False,False,False,False,False,False
