,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
30,[146 246 107],[146 107  72],[146 107 246],[107 146 246],[ 90  91 185],[246 146 107],[246  72 107],[146 246 107],[146 107 246],[146 246 107],[146 246 107],[146 246 107],146,True,True,True,True,False,True,False,True,True,True,True,True
31,[  1 157 123],[ 62 157   1],[  1 157 123],[ 86 157   1],[ 89  90 123],[  1 157 123],[103  93 123],[  1 157 123],[  1 157 123],[  1 157 123],[  1 157 123],[  1 157 123],1,True,True,True,True,False,True,False,True,True,True,True,True
32,[214 226 222],[ 77  62 222],[214 226 222],[ 62 226 222],[271  92 163],[214 226 222],[226 181  65],[214 226 222],[214 226 222],[214 226 222],[214 226 222],[214 226 222],226,True,False,True,True,False,True,True,True,True,True,True,True
33,[67 91 49],[ 52  91 221],[124  91  49],[49 91 52],[90 91 67],[67 91 49],[49 52 67],[67 91 49],[124  91  49],[67 91 49],[67 91 49],[67 91 49],49,True,False,True,True,False,True,True,True,True,True,True,True
34,[214 191  98],[187 215  98],[214 191  98],[191 187  98],[271  90 215],[214 191  98],[191 187  98],[214 191  98],[214 191  98],[214 191  98],[214 191  98],[214 191  98],98,True,True,True,True,False,True,True,True,True,True,True,True
35,[195   4  69],[149 221  69],[195   4  69],[195   4  69],[ 89  90 221],[149   4  69],[  4  69 195],[195   4  69],[221   4  69],[195   4  69],[195   4  69],[195   4  69],4,True,False,True,True,False,True,True,True,True,True,True,True
36,[220 224  77],[224  77 220],[220 224  77],[259 224  77],[91 92 77],[259  77 224],[ 77 224 220],[220 224  77],[220 224  77],[220 224  77],[220 224  77],[220 224  77],224,True,True,True,True,False,True,True,True,True,True,True,True
37,[ 60   2 195],[143   2 195],[143   2 195],[ 23 195 143],[ 92 271 143],[  2 195 143],[ 60   2 195],[ 60   2 195],[143   2 195],[ 60   2 195],[ 60   2 195],[ 60   2 195],23,False,False,False,True,False,False,False,False,False,False,False,False
38,[215 224 246],[246 224 215],[215 224 246],[215 224 246],[ 92  87 246],[215 224 246],[215 224 246],[215 224 246],[215 224 246],[215 224 246],[215 224 246],[215 224 246],246,True,True,True,True,True,True,True,True,True,True,True,True
39,[ 54  53 157],[ 54 157  53],[ 54  53 157],[ 54  53 157],[ 90  91 157],[ 54  53 157],[ 54  53 157],[ 54  53 157],[ 54  53 157],[ 54  53 157],[ 54  53 157],[ 54  53 157],53,True,True,True,True,False,True,True,True,True,True,True,True
40,[ 88  62 222],[ 88  62 222],[ 88  62 222],[ 88  62 222],[91 92 62],[ 88  62 222],[ 88  62 222],[ 88  62 222],[ 88  62 222],[ 88  62 222],[ 88  62 222],[ 88  62 222],222,True,True,True,True,False,True,True,True,True,True,True,True
41,[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],[ 89  90 221],221,True,True,True,True,True,True,True,True,True,True,True,True
0,[242 103 220],[247 220  26],[242 103 220],[103  77 246],[91 92 28],[247 220  26],[247 220  26],[247 220  26],[242 103 220],[242 103 220],[242 103 220],[242 103 220],26,False,True,False,False,False,True,True,True,False,False,False,False
1,[129   5 103],[150   5 220],[  5 103  65],[150  86 157],[90 91 86],[150   5 220],[150   5 220],[150   5 220],[  5 103  65],[129   5 103],[129   5 103],[129   5 103],5,True,True,True,False,False,True,True,True,True,True,True,True
2,[229 123 262],[187  53 131],[229 123 262],[123 262 178],[ 90  91 185],[187  53 131],[187  53 131],[187  53 131],[229 123 262],[229 123 262],[229 123 262],[229 123 262],196,False,False,False,False,False,False,False,False,False,False,False,False
3,[195  16  98],[195 242  98],[195  16  98],[228 244  98],[90 91 16],[195 242  98],[195 242  98],[195 242  98],[195  16  98],[195  16  98],[195  16  98],[195  16  98],82,False,False,False,False,False,False,False,False,False,False,False,False
4,[220 209  42],[ 42 226 209],[226 209  42],[ 42 142 209],[92 87 42],[ 42 226 209],[ 42 226 209],[ 42 226 209],[142  42 209],[220 209  42],[220 209  42],[220 209  42],209,True,True,True,True,False,True,True,True,True,True,True,True
5,[187 242 185],[187 175 242],[187 242 185],[187 246 110],[ 89  90 205],[187 242 185],[187 175 242],[187 175 242],[246 110 185],[187 242 185],[187 242 185],[187 242 185],175,False,True,False,False,False,False,True,True,False,False,False,False
6,[178 185  23],[178   7 231],[164  23 185],[ 23 231 178],[ 92 271  75],[231 185  23],[178   7 231],[178   7 231],[ 23 164 185],[ 23 185 178],[ 23 185 178],[ 23 185 178],7,False,True,False,False,False,False,True,True,False,False,False,False
7,[119  89 143],[143  89  30],[119  89 143],[143 186 119],[ 90  91 186],[119  89 143],[143  89  30],[143  89  30],[119  89 143],[119  89 143],[119  89 143],[119  89 143],89,True,True,True,False,False,True,True,True,True,True,True,True
8,[242 220 259],[242 247 220],[247 242 259],[247 242 246],[ 91  92 247],[247 242 259],[242 247 220],[242 247 220],[247 242 259],[242 220 259],[242 220 259],[242 220 259],220,True,True,False,False,False,False,True,True,False,True,True,True
9,[ 86  57 220],[ 57  86 220],[ 86  57 220],[ 57 220  86],[90 91 86],[ 57  86 220],[ 57  86 220],[ 57  86 220],[ 86  57 220],[ 86  57 220],[ 86  57 220],[ 86  57 220],220,True,True,True,True,False,True,True,True,True,True,True,True
