,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
7,231,187,96,96,72,231,187,187,96,231,231,231,72,False,False,False,False,True,False,False,False,False,False,False,False
8,150,150,150,150,150,149,150,150,150,150,150,150,150,True,True,True,True,True,False,True,True,True,True,True,True
9,146,146,146,244,60,146,146,146,146,146,146,146,60,False,False,False,False,True,False,False,False,False,False,False,False
10,101,101,101,101,101,101,101,101,101,101,101,101,87,False,False,False,False,False,False,False,False,False,False,False,False
11,222,163,163,222,163,62,163,163,163,222,222,222,163,False,True,True,False,True,False,True,True,True,False,False,False
12,257,165,257,165,257,257,165,165,257,257,257,257,257,True,False,True,False,True,True,False,False,True,True,True,True
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,95,56,118,167,65,95,56,56,118,95,95,95,118,False,False,True,False,False,False,False,False,True,False,False,False
15,142,142,142,142,257,28,160,142,142,142,142,142,48,False,False,False,False,False,False,False,False,False,False,False,False
16,52,52,271,167,52,154,271,52,271,52,52,52,25,False,False,False,False,False,False,False,False,False,False,False,False
17,265,19,19,94,77,259,265,19,265,265,265,265,19,False,True,True,False,False,False,False,True,False,False,False,False
18,146,146,146,1,123,146,146,146,146,146,146,146,73,False,False,False,False,False,False,False,False,False,False,False,False
19,231,203,231,165,259,89,231,203,231,231,231,231,212,False,False,False,False,False,False,False,False,False,False,False,False
20,220,220,220,94,94,140,77,220,220,220,220,220,220,True,True,True,False,False,False,False,True,True,True,True,True
21,67,67,67,244,244,229,257,67,67,67,67,67,72,False,False,False,False,False,False,False,False,False,False,False,False
22,107,107,107,167,149,149,167,107,107,107,107,107,107,True,True,True,False,False,False,False,True,True,True,True,True
23,28,28,161,244,161,28,244,28,161,28,28,28,161,False,False,True,False,True,False,False,False,True,False,False,False
24,271,271,271,167,271,271,271,271,271,271,271,271,60,False,False,False,False,False,False,False,False,False,False,False,False
25,77,77,77,77,259,259,77,77,77,77,77,77,77,True,True,True,True,False,False,True,True,True,True,True,True
26,146,146,146,146,146,146,146,146,146,146,146,146,218,False,False,False,False,False,False,False,False,False,False,False,False
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,146,146,67,120,146,62,174,146,67,146,146,146,97,False,False,False,False,False,False,False,False,False,False,False,False
29,18,238,238,238,118,0,18,238,238,18,18,18,118,False,False,False,False,True,False,False,False,False,False,False,False
30,231,56,231,119,236,129,231,119,231,231,231,231,269,False,False,False,False,False,False,False,False,False,False,False,False
31,203,203,203,167,242,15,203,167,203,203,203,203,195,False,False,False,False,False,False,False,False,False,False,False,False
32,146,146,146,228,228,89,146,228,146,146,146,146,67,False,False,False,False,False,False,False,False,False,False,False,False
33,268,56,268,244,268,253,268,244,268,268,268,268,144,False,False,False,False,False,False,False,False,False,False,False,False
34,146,146,146,146,215,229,146,146,146,146,146,146,221,False,False,False,False,False,False,False,False,False,False,False,False
35,107,107,107,107,208,191,191,107,107,107,107,107,60,False,False,False,False,False,False,False,False,False,False,False,False
36,146,146,146,146,214,62,146,146,146,146,146,146,156,False,False,False,False,False,False,False,False,False,False,False,False
37,231,231,231,167,167,231,231,167,231,231,231,231,208,False,False,False,False,False,False,False,False,False,False,False,False
38,231,268,231,231,231,129,231,231,231,231,231,231,236,False,False,False,False,False,False,False,False,False,False,False,False
39,28,28,28,28,28,28,91,28,28,28,28,28,30,False,False,False,False,False,False,False,False,False,False,False,False
40,143,143,143,143,185,143,143,143,143,143,143,143,185,False,False,False,False,True,False,False,False,False,False,False,False
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,146,146,146,201,255,146,146,146,146,146,146,146,201,False,False,False,True,False,False,False,False,False,False,False,False
1,124,215,167,167,173,215,215,215,167,124,124,124,173,False,False,False,False,True,False,False,False,False,False,False,False
2,209,209,10,209,209,209,209,209,10,209,209,209,209,True,True,False,True,True,True,True,True,False,True,True,True
3,142,142,142,142,120,142,142,142,142,142,142,142,8,False,False,False,False,False,False,False,False,False,False,False,False
4,97,97,244,244,12,97,97,97,244,97,97,97,12,False,False,False,False,True,False,False,False,False,False,False,False
5,232,7,232,209,30,30,7,7,232,232,232,232,209,False,False,False,True,False,False,False,False,False,False,False,False
6,67,67,67,244,244,236,67,67,67,67,67,67,67,True,True,True,False,False,False,True,True,True,True,True,True
7,28,28,184,165,103,103,28,28,28,28,28,28,103,False,False,False,False,True,True,False,False,False,False,False,False
8,247,245,247,245,247,30,245,245,214,247,247,247,245,False,True,False,True,False,False,True,True,False,False,False,False
9,167,165,167,167,42,167,165,165,167,167,167,167,167,True,False,True,True,False,True,False,False,True,True,True,True
10,10,10,10,86,4,10,10,10,10,10,10,10,86,False,False,False,True,False,False,False,False,False,False,False,False
11,156,156,156,167,167,156,156,156,156,156,156,156,167,False,False,False,True,True,False,False,False,False,False,False,False
12,2,2,2,2,2,2,2,2,2,2,2,2,2,True,True,True,True,True,True,True,True,True,True,True,True
13,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
14,0,0,133,244,0,124,0,0,133,0,0,0,209,False,False,False,False,False,False,False,False,False,False,False,False
15,128,24,128,178,24,30,92,24,128,128,128,128,128,True,False,True,False,False,False,False,False,True,True,True,True
16,271,271,242,120,234,208,259,271,242,271,271,271,12,False,False,False,False,False,False,False,False,False,False,False,False
17,24,24,24,120,271,156,255,24,24,24,24,24,120,False,False,False,True,False,False,False,False,False,False,False,False
18,67,67,67,182,221,221,92,67,67,67,67,67,182,False,False,False,True,False,False,False,False,False,False,False,False
19,24,24,24,120,24,208,28,24,24,24,24,24,53,False,False,False,False,False,False,False,False,False,False,False,False
20,215,215,215,181,262,215,259,215,181,215,215,215,191,False,False,False,False,False,False,False,False,False,False,False,False
21,231,231,231,228,262,208,229,231,231,231,231,231,231,True,True,True,False,False,False,False,True,True,True,True,True
22,124,124,124,217,217,124,185,124,124,124,124,124,222,False,False,False,False,False,False,False,False,False,False,False,False
23,4,30,4,4,4,30,134,30,4,4,4,4,4,True,False,True,True,True,False,False,False,True,True,True,True
24,271,271,271,271,271,208,271,271,271,271,271,271,271,True,True,True,True,True,False,True,True,True,True,True,True
25,271,271,271,181,271,271,62,271,181,271,271,271,271,True,True,True,False,True,True,False,True,False,True,True,True
26,257,257,257,257,257,257,185,257,257,257,257,257,257,True,True,True,True,True,True,False,True,True,True,True,True
27,208,208,208,208,208,208,208,208,208,208,208,208,208,True,True,True,True,True,True,True,True,True,True,True,True
28,223,223,223,192,124,124,223,223,223,223,223,223,192,False,False,False,True,False,False,False,False,False,False,False,False
29,95,0,260,157,0,260,95,0,95,95,95,95,135,False,False,False,False,False,False,False,False,False,False,False,False
30,53,209,53,209,11,10,84,84,53,53,53,53,86,False,False,False,False,False,False,False,False,False,False,False,False
31,232,33,232,110,161,161,140,140,232,232,232,232,33,False,True,False,False,False,False,False,False,False,False,False,False
32,247,187,119,119,187,60,253,253,119,247,247,247,119,False,False,True,True,False,False,False,False,True,False,False,False
33,18,18,18,178,4,18,18,18,18,18,18,18,56,False,False,False,False,False,False,False,False,False,False,False,False
34,203,203,203,203,258,198,258,258,203,203,203,203,203,True,True,True,True,False,False,False,False,True,True,True,True
