,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
8,[ 53 218   2],[181   2  53],[218  53   2],[ 53   2 218],[ 92   2 271],[ 53 218   2],[181   2  53],[181   2  53],[218  53   2],[ 53 218   2],[ 53 218   2],[ 53 218   2],181,False,True,False,False,False,False,True,True,False,False,False,False
9,[161 262  84],[262 224  84],[161 262  84],[161 262  84],[ 91 271 262],[161 262  84],[262 224  84],[262 224  84],[161 262  84],[161 262  84],[161 262  84],[161 262  84],224,False,True,False,False,False,False,True,True,False,False,False,False
10,[185 243 242],[243 156 185],[185 243 242],[185 243 242],[ 91  92 243],[185 243 242],[243 156 185],[243 156 185],[185 243 242],[185 243 242],[185 243 242],[185 243 242],242,True,False,True,True,False,True,False,False,True,True,True,True
11,[221 262 247],[221 262 247],[221 262 247],[262 247 221],[ 89  90 221],[221 262 247],[221 262 247],[221 262 247],[221 262 247],[221 262 247],[221 262 247],[221 262 247],247,True,True,True,True,False,True,True,True,True,True,True,True
12,[271 163 164],[271 163 164],[271 163 164],[271 163 164],[ 91  92 164],[271 163 164],[271 163 164],[271 163 164],[271 163 164],[271 163 164],[271 163 164],[271 163 164],164,True,True,True,True,True,True,True,True,True,True,True,True
13,[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],57,True,True,True,True,True,True,True,True,True,True,True,True
14,[235  24 193],[235 188 241],[235  24 193],[206 235 193],[91 92 24],[235  24 193],[235 188 241],[235 188 241],[235  24 193],[235  24 193],[235  24 193],[235  24 193],241,False,True,False,False,False,False,True,True,False,False,False,False
15,[146 243 265],[265 206  89],[243 146 265],[206 265 243],[ 90  91 255],[146 243 265],[146 243 265],[265 206  89],[243 146 265],[146 243 265],[146 243 265],[146 243 265],19,False,False,False,False,False,False,False,False,False,False,False,False
16,[ 87 103 112],[ 26 158 271],[ 87 103 112],[ 87 112 103],[271  91 158],[ 72  87 112],[ 87 103 112],[ 26 158 271],[ 87 103 112],[ 87 103 112],[ 87 103 112],[ 87 103 112],72,False,False,False,False,False,True,False,False,False,False,False,False
17,[ 29   4 195],[140 224  29],[ 29   4 195],[ 29 243 195],[ 92  87 195],[ 29   4 195],[ 29   4 195],[140 224  29],[ 29   4 195],[ 29   4 195],[ 29   4 195],[ 29   4 195],195,True,False,True,True,True,True,True,False,True,True,True,True
18,[ 84   5 195],[195   5  87],[ 84   5 195],[195   5 212],[ 91  86 212],[ 84   5 195],[  2   5 195],[195   5  87],[ 84   5 195],[ 84   5 195],[ 84   5 195],[ 84   5 195],195,True,True,True,True,False,True,True,True,True,True,True,True
19,[ 33 103  84],[164  33 103],[ 33 103  84],[ 33  84 103],[ 90  91 182],[ 33 103  84],[ 33 103  84],[164  33 103],[ 33 103  84],[ 33 103  84],[ 33 103  84],[ 33 103  84],46,False,False,False,False,False,False,False,False,False,False,False,False
20,[167 203 191],[203 167 194],[167 203 191],[167 194 203],[ 92 167 271],[191 203 167],[191 203 167],[203 167 194],[167 203 191],[167 203 191],[167 203 191],[167 203 191],203,True,True,True,True,False,True,True,True,True,True,True,True
21,[231 214 107],[231 213 107],[231 214 107],[214 107 231],[90 91 92],[231 214 107],[231 214 107],[231 213 107],[214 231 107],[231 214 107],[231 214 107],[231 214 107],213,False,True,False,False,False,False,False,True,False,False,False,False
22,[188  21  24],[188 206  21],[188  21  24],[ 21 206  24],[90 91 21],[188  21  24],[188  21  24],[188 206  21],[188  21  24],[188  21  24],[188  21  24],[188  21  24],24,True,False,True,True,False,True,True,False,True,True,True,True
23,[253 206 243],[206 229 243],[253 206 243],[  6 206 243],[ 91 206 271],[253 206 243],[253 206 243],[206 229 243],[253 206 243],[253 206 243],[253 206 243],[253 206 243],243,True,True,True,True,False,True,True,True,True,True,True,True
24,[158  89 103],[158  89 103],[158  89 103],[158  89 103],[271  91 158],[158  89 103],[158  89 103],[158  89 103],[158  89 103],[158  89 103],[158  89 103],[158  89 103],103,True,True,True,True,False,True,True,True,True,True,True,True
