,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
7,[184 199 214],[119 199 184],[184 199 214],[ 89  90 119],[ 90  91 236],[214 184 199],[119 199 184],[119 199 184],[184 199 214],[184 199 214],[184 199 214],[184 199 214],214,True,False,True,False,False,True,False,False,True,True,True,True
8,[178 246 199],[255 267 199],[178 246 199],[ 87 267 255],[ 92  87 246],[178 246 199],[255 267 199],[255 267 199],[178 246 199],[178 246 199],[178 246 199],[178 246 199],255,False,True,False,True,False,False,True,True,False,False,False,False
9,[87  4 30],[87  4 28],[87  4 30],[ 94  95 271],[92 91 30],[87  4 30],[87  4 28],[87  4 28],[87  4 30],[87  4 30],[87  4 30],[87  4 30],4,True,True,True,False,False,True,True,True,True,True,True,True
10,[184   2 228],[ 90 271 184],[228   2 184],[ 91  92 271],[271  90 184],[228   2 184],[ 90 271 184],[ 90 271 184],[228   2 184],[184   2 228],[184   2 228],[184   2 228],228,True,False,True,False,False,True,False,False,True,True,True,True
11,[196  30 134],[ 91  92 271],[196  30 134],[ 91  92 271],[ 90  91 134],[196  30 134],[ 91  92 271],[ 91  92 271],[196  30 134],[196  30 134],[196  30 134],[196  30 134],196,True,False,True,False,False,True,False,False,True,True,True,True
12,[271  57 164],[ 91 271  57],[271  57 164],[ 91  92 271],[ 91 271  57],[271  57 164],[ 91 271  57],[ 91 271  57],[271  57 164],[271  57 164],[271  57 164],[271  57 164],164,True,False,True,False,False,True,False,False,True,True,True,True
13,[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],[ 91 271  57],57,True,True,True,True,True,True,True,True,True,True,True,True
14,[17 32 74],[192 150 209],[17 32 74],[ 93 209 192],[271  91 181],[ 20  32 181],[192 150 209],[192 150 209],[17 32 74],[17 32 74],[17 32 74],[17 32 74],74,True,False,True,False,False,False,False,False,True,True,True,True
15,[265 169 214],[184  28 199],[265 214 199],[ 94  95 271],[271  90  87],[169 184 199],[265  46 214],[184  28 199],[265 214 199],[265 169 214],[265 169 214],[265 169 214],87,False,False,False,False,True,False,False,False,False,False,False,False
16,[191 222 257],[184 260  73],[191 222 257],[271  92  73],[271  89 218],[191 257 184],[191 222 257],[184 260  73],[191 222 257],[191 222 257],[191 222 257],[191 222 257],191,True,False,True,False,False,True,True,False,True,True,True,True
17,[224 204 191],[65 28 67],[224 204 191],[ 93  94 271],[ 92  91 200],[ 67  65 181],[204 224 191],[65 28 67],[224 204 191],[224 204 191],[224 204 191],[224 204 191],204,True,False,True,False,False,False,True,False,True,True,True,True
18,[228 205  33],[220  33 184],[184 205  33],[ 91  92 271],[ 89  90 123],[205  33 184],[228 205  33],[220  33 184],[228 205  33],[228 205  33],[228 205  33],[228 205  33],123,False,False,False,False,True,False,False,False,False,False,False,False
19,[119 231 243],[208 231 260],[119 231 243],[ 89  90 119],[ 92  87 161],[119 231 243],[119 243 231],[208 231 260],[119 243 231],[119 231 243],[119 231 243],[119 231 243],231,True,True,True,False,False,True,True,True,True,True,True,True
20,[167  33 203],[203 267  33],[167  33 203],[ 92  93 267],[ 91 271 262],[167  33 203],[167  33 203],[203 267  33],[167  33 203],[167  33 203],[167  33 203],[167  33 203],203,True,True,True,False,False,True,True,True,True,True,True,True
21,[120 109 214],[109 140 208],[120 109 214],[ 90  91 271],[ 90 271 149],[120 214 109],[120 109 214],[109 140 208],[120 109 214],[120 109 214],[120 109 214],[120 109 214],140,False,True,False,False,False,False,False,True,False,False,False,False
22,[203 222  17],[222 203  23],[203 222  17],[ 92  93 271],[ 89  90 222],[203 222  17],[203 222  17],[222 203  23],[203 222  17],[203 222  17],[203 222  17],[203 222  17],17,True,False,True,False,False,True,True,False,True,True,True,True
23,[ 16 184 199],[184 199  28],[ 16 184 199],[ 92  93 271],[271  90 184],[ 16 184 199],[ 16 184 199],[184 199  28],[ 16 184 199],[ 16 184 199],[ 16 184 199],[ 16 184 199],28,False,True,False,False,False,False,False,True,False,False,False,False
