,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
38,221,221,221,32,42,221,221,221,221,221,221,221,42,False,False,False,False,True,False,False,False,False,False,False,False
39,232,77,232,77,232,232,232,232,232,232,232,232,232,True,False,True,False,True,True,True,True,True,True,True,True
40,60,30,60,30,30,60,60,60,60,60,60,60,60,True,False,True,False,False,True,True,True,True,True,True,True
41,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True,True,True,True,True,True,True,True,True
0,238,0,238,238,94,0,0,0,238,238,238,238,55,False,False,False,False,False,False,False,False,False,False,False,False
1,248,95,248,165,269,95,95,95,248,248,248,248,19,False,False,False,False,False,False,False,False,False,False,False,False
2,154,6,154,119,30,6,6,6,154,154,154,154,19,False,False,False,False,False,False,False,False,False,False,False,False
3,72,2,72,72,66,2,2,2,72,72,72,72,132,False,False,False,False,False,False,False,False,False,False,False,False
4,2,2,2,167,35,2,2,2,2,2,2,2,69,False,False,False,False,False,False,False,False,False,False,False,False
5,184,53,184,53,53,184,53,53,184,184,184,184,187,False,False,False,False,False,False,False,False,False,False,False,False
6,243,231,243,231,231,243,231,231,243,243,243,243,253,False,False,False,False,False,False,False,False,False,False,False,False
7,181,6,181,181,123,181,6,6,181,181,181,181,188,False,False,False,False,False,False,False,False,False,False,False,False
8,247,6,247,4,4,247,6,6,247,247,247,247,122,False,False,False,False,False,False,False,False,False,False,False,False
9,151,260,151,4,163,151,260,260,151,151,151,151,151,True,False,True,False,False,True,False,False,True,True,True,True
10,57,30,57,109,109,57,30,30,57,57,57,57,109,False,False,False,True,True,False,False,False,False,False,False,False
11,2,2,2,268,267,2,2,2,2,2,2,2,2,True,True,True,False,False,True,True,True,True,True,True,True
12,4,4,4,4,4,4,4,4,4,4,4,4,208,False,False,False,False,False,False,False,False,False,False,False,False
13,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
14,107,8,129,8,260,107,8,8,129,107,107,107,116,False,False,False,False,False,False,False,False,False,False,False,False
15,20,20,20,110,20,20,20,20,20,20,20,20,85,False,False,False,False,False,False,False,False,False,False,False,False
16,195,72,149,182,132,195,195,72,149,195,195,195,132,False,False,False,False,True,False,False,False,False,False,False,False
17,105,1,105,192,111,105,105,1,105,105,105,105,105,True,False,True,False,False,True,True,False,True,True,True,True
18,2,2,2,62,73,2,2,2,2,2,2,2,196,False,False,False,False,False,False,False,False,False,False,False,False
19,52,1,52,1,198,52,52,1,52,52,52,52,87,False,False,False,False,False,False,False,False,False,False,False,False
