,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
22,156,107,107,167,156,156,156,107,107,156,156,156,107,False,True,True,False,False,False,False,True,True,False,False,False
23,28,28,28,244,188,28,28,28,28,28,28,28,161,False,False,False,False,False,False,False,False,False,False,False,False
24,60,271,60,167,167,60,60,271,60,60,60,60,60,True,False,True,False,False,True,True,False,True,True,True,True
25,140,77,140,140,77,140,140,77,140,140,140,140,77,False,True,False,False,True,False,False,True,False,False,False,False
26,218,146,218,218,218,218,218,146,218,218,218,218,218,True,False,True,True,True,True,True,False,True,True,True,True
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,97,67,97,97,212,97,97,67,97,97,97,97,97,True,False,True,True,False,True,True,False,True,True,True,True
29,0,238,0,238,61,0,0,238,0,0,0,0,118,False,False,False,False,False,False,False,False,False,False,False,False
30,269,119,269,269,236,269,269,269,269,269,269,269,269,True,False,True,True,False,True,True,True,True,True,True,True
31,15,15,15,84,28,15,15,15,15,15,15,15,195,False,False,False,False,False,False,False,False,False,False,False,False
32,89,67,89,89,228,89,89,89,89,89,89,89,67,False,True,False,False,False,False,False,False,False,False,False,False
33,30,268,30,244,244,30,30,30,30,30,30,30,144,False,False,False,False,False,False,False,False,False,False,False,False
34,215,146,215,215,221,215,215,215,215,215,215,215,221,False,False,False,False,True,False,False,False,False,False,False,False
35,262,107,262,262,262,262,262,262,262,262,262,262,60,False,False,False,False,False,False,False,False,False,False,False,False
36,156,146,156,156,62,156,156,156,156,156,156,156,156,True,False,True,True,False,True,True,True,True,True,True,True
37,161,231,161,167,231,161,161,161,161,161,161,161,208,False,False,False,False,False,False,False,False,False,False,False,False
38,129,231,129,129,268,129,129,129,129,129,129,129,236,False,False,False,False,False,False,False,False,False,False,False,False
39,28,28,28,28,28,28,28,28,28,28,28,28,30,False,False,False,False,False,False,False,False,False,False,False,False
40,143,143,143,143,143,143,143,143,143,143,143,143,185,False,False,False,False,False,False,False,False,False,False,False,False
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,0,247,0,0,22,247,247,247,0,0,0,0,201,False,False,False,False,False,False,False,False,False,False,False,False
1,124,124,124,167,249,124,124,124,124,124,124,124,173,False,False,False,False,False,False,False,False,False,False,False,False
2,209,209,209,209,184,209,209,209,209,209,209,209,209,True,True,True,True,False,True,True,True,True,True,True,True
3,156,142,156,8,222,142,142,142,156,156,156,156,8,False,False,False,True,False,False,False,False,False,False,False,False
4,97,2,97,262,262,2,2,2,97,97,97,97,12,False,False,False,False,False,False,False,False,False,False,False,False
5,209,271,209,209,206,209,271,271,209,209,209,209,209,True,False,True,True,False,True,False,False,True,True,True,True
6,84,67,84,84,236,84,67,67,84,84,84,84,67,False,True,False,False,False,False,True,True,False,False,False,False
